"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FJX1",159.022606010208,-2.32712585830576,0.258043766012856,-9.01833783572135,1.9096462763186e-19,1.21582112004717e-16
"SLC7A11",1325.55606343946,-2.95267507267532,0.332050914792153,-8.89223592268535,5.98913645936102e-19,3.73686180245371e-16
"PLAU",2436.6320826637,-2.94959168146572,0.332354593539675,-8.87483350253022,7.00381100529716e-19,4.28427239082854e-16
"SFRP1",907.645025018078,3.70544026968644,0.418249551195,8.859400468212,8.04458936412176e-19,4.8262895075482e-16
"LRRC8E",287.99324195677,-2.43013593882791,0.274404812686216,-8.85602520975749,8.29181358802872e-19,4.88074921708928e-16
"C2CD4A",398.701245782443,-3.73085603643744,0.426894921474624,-8.73951843594188,2.3410618094879e-18,1.35248343093693e-15
"ARFGAP1",2436.28249179077,-1.00278494204228,0.115272964155419,-8.69922057951298,3.34171407292589e-18,1.89548098060126e-15
"BGN",1698.66973202005,-3.07641055900171,0.354849897576065,-8.66961095386045,4.33599339932955e-18,2.41553546569436e-15
"ENSG00000228742.5",48.8036530975161,-4.3014798907976,0.497375158051728,-8.64836094276794,5.22443631639027e-18,2.85941648706013e-15
"BEST4",730.687712155741,4.39759352233841,0.509583426904235,8.62978128832444,6.14694007528644e-18,3.30631188842605e-15
"PLIN1",419.157411059628,5.42800551663518,0.629338186832557,8.62494224918115,6.41250055175001e-18,3.39069118157534e-15
"CHPF",2605.8546931646,-1.40001793325229,0.162374080467661,-8.62217620706476,6.56935123467173e-18,3.41573417446757e-15
"CHI3L1",647.33509171662,-4.14939564034528,0.482360904848637,-8.60226357201844,7.81590448742617e-18,3.932786649907e-15
"SLC22A5",1189.76119660012,1.50881555665428,0.175391178285891,8.60257380901381,7.79479931438737e-18,3.932786649907e-15
"BCHE",263.021410098892,4.25187957761859,0.494769507131816,8.593657281482,8.42440454867679e-18,4.17168490008047e-15
"PRSS22",326.272690719849,-3.9591548472288,0.46175393578948,-8.57416589305225,9.98074779783711e-18,4.86514670389257e-15
"ETFDH",878.024572570524,1.21909909865576,0.142634021718466,8.54704287215603,1.26282292875849e-17,6.06096721668903e-15
"ADIPOQ",401.244354164871,6.59414479419721,0.771953398320101,8.54215398046975,1.31742716334894e-17,6.22723866893891e-15
"CRNDE",68.3252927319484,-4.30984095322903,0.505697882732225,-8.52256080239742,1.56063674794243e-17,7.26674397396418e-15
"KIF26B",344.129334151444,-2.39879164642572,0.283431074253378,-8.46340385486906,2.59684507187505e-17,1.19137905451891e-14
"SLC25A34",255.414870420055,2.53210608650679,0.299813460935394,8.44560507259022,3.02474635784389e-17,1.36757988587907e-14
"STC2",385.872806100848,-2.85646577838841,0.340584372152876,-8.38695492788568,4.98896165633814e-17,2.2234376684683e-14
"SPON2",1482.77908668685,-1.78898748851474,0.21484187383594,-8.32699629998977,8.29193347746189e-17,3.64342885487857e-14
"CA9",338.64901245749,-5.21216111961175,0.626261625111368,-8.32265767311684,8.60125910417034e-17,3.72685389267781e-14
"TRIM29",921.43002913995,-4.53462811965972,0.545866761589447,-8.30720688406793,9.79810334100298e-17,4.18727986204479e-14
"ENSG00000236081.1",40.8825984341903,-3.70307311740739,0.448365454503235,-8.25905091530789,1.46835289775116e-16,6.19029802042471e-14
"CA7",1032.42195270488,4.48412118512965,0.543293154253247,8.25359412321889,1.53700719890459e-16,6.39333514456351e-14
"ENSG00000245694.4",101.949736658895,-4.16225428158211,0.504963724014826,-8.24267978794434,1.68395806529238e-16,6.91242628459558e-14
"C10orf55",642.270808598594,-2.86835307850893,0.348779487675461,-8.22397296820943,1.96870484344456e-16,7.7743905064481e-14
"CBX2",443.037018763544,-3.63917050957825,0.442366135996007,-8.22660283745386,1.92597733539668e-16,7.7743905064481e-14
"CPNE7",294.682199096683,-3.98104072024591,0.484018712255746,-8.22497275300054,1.95235234392712e-16,7.7743905064481e-14
