"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPP1",3953.52002893425,-5.19357565730003,0.722732325240736,-7.18602928901802,6.67027411445447e-13,1.14336561290459e-10
"ENSG00000253929.1",16.8287979615621,-5.14420185824453,0.855714237121528,-6.01158848957418,1.83714184425682e-09,1.04944560096768e-07
"ENSG00000249413.2",14.6251955440673,-5.14139719794615,0.950355862815888,-5.40997051642558,6.30351259350602e-08,2.11908062909059e-06
"CLEC5A",239.578489967106,-5.06537999923161,0.621587588809538,-8.14910093191018,3.66639849393542e-16,1.31471992891153e-13
"IL11",152.726769789146,-5.06017347464319,0.527532979599937,-9.59214621705859,8.62714504795282e-22,8.68196916325755e-19
"IL8",4773.45548971925,-5.05799406491938,0.729730402176225,-6.93131881285921,4.16935220577804e-12,5.65527307668077e-10
"IRX5",30.7257766196993,-5.04941696486322,0.917385193947449,-5.50414046158289,3.70973699166419e-08,1.35602291130884e-06
"EGFL6",122.880070663311,-5.03291431224428,0.457559451088331,-10.9994762435203,3.84357811320021e-28,7.49425664984418e-25
"ENSG00000230234.1",8.27357499890117,-5.00358267054092,0.934622097643123,-5.35358909569833,8.62265477191472e-08,2.74210969336823e-06
"CLDN1",1325.8345606697,-4.97656380097688,0.471468189637638,-10.5554603902371,4.79284178487944e-26,7.86959395594126e-23
"FEZF1-AS1",97.3654290237302,-4.90343776065913,0.785999722156434,-6.23847263864964,4.41863889726979e-10,3.05613828296515e-08
"NMUR2",45.51464651436,-4.88506001174623,0.885304526393007,-5.51794311009502,3.42990420244322e-08,1.27384192147168e-06
"DSC3",541.657814932087,-4.87377479657485,0.736062984758423,-6.62140998460128,3.55788656436057e-11,3.54617850314239e-09
"CSF2",46.2639056814372,-4.8693556796982,0.875268592074977,-5.5632702050402,2.64765442323182e-08,1.01973919804399e-06
"LINC00659",33.8152997144439,-4.86064469799656,0.751225167705909,-6.47029001017099,9.78149999880569e-11,8.40643127996532e-09
"TACSTD2",925.016685281926,-4.85918428847337,0.59668171573605,-8.14367888327065,3.83445321704118e-16,1.35935723877311e-13
"ENSG00000259485.1",49.416516417101,-4.82895176265717,0.84668087735736,-5.70339060654018,1.1744742346033e-08,5.19717343218711e-07
"ENSG00000271127.1",4.82368357939999,-4.80780156366919,1.12756156477004,-4.26389273445101,2.00895913652991e-05,0.000250593755227203
"ENSG00000231826.1",234.071098679091,-4.80537713981998,0.889275100497986,-5.40370143854136,6.52795682349173e-08,2.17810341200504e-06
"ENSG00000230316.2",107.955110386525,-4.80334848782226,0.775509053389997,-6.19380066141755,5.87304955170627e-10,3.86543305621478e-08
"CLDN2",1198.46158437023,-4.77593175707672,0.705601119429844,-6.76860002849185,1.30034472739181e-11,1.50806150410566e-09
